product_id,gross_sales_inr,discount_inr,net_sales_inr,cogs_inr,gross_profit_inr,variable_cost_inr,contribution_profit_inr,quantity_ordered,quantity_fulfilled,quantity_unfulfilled,quantity_substituted,estimated_lost_revenue_inr,estimated_lost_margin_inr,orders,period_days,delivery_cost_inr,fill_rate,substitution_rate,cancellation_rate,order_fulfillment_rate,item_fulfillment_rate,gross_margin,contribution_margin,aov_inr,profit_per_order_inr,profit_per_item_inr,recovery_opportunity_inr,margin_quadrant,discount_dependence
0,4818871.819999999,307533.76,4511338.0600000005,3281035.1,1230302.96,2090347.0698452378,-860044.109845238,134675.0,133771.0,904.0,434.0,30146.17,7998.29,92340,120,1349109.2423690478,0.9932875440876183,0.00322257286059031,0.0008988520684427117,0.9991011479315572,0.9932053709924535,0.27271353723378466,-0.1906405812215363,48.85572947801603,-9.31388466369112,-6.429226886584073,19595.0105,HIGH REVENUE / LOW MARGIN,0.06381862217700575
1,29636954.73,1870170.2200000002,27766784.509999998,23611070.16,4155714.3500000006,1518600.2949325396,2637114.055067461,94362.0,94098.0,264.0,185.0,76445.43,10202.57,67498,120,944478.5047341271,0.9972022636230686,0.0019605349611072254,0.00034075083706183886,0.9996592491629381,0.9972130149496042,0.1496649476464713,0.09497369254685303,411.3719593173131,39.06951398659903,28.025187092897415,49689.5295,HIGH REVENUE / LOW MARGIN,0.06310264455433139
2,33267569.91,2097268.91,31170301.0,20967070.799999997,10203230.200000001,1198819.4361403317,9004410.763859669,72917.0,72462.0,455.0,270.0,190441.32,58536.83,52958,120,731216.2008232323,0.9937600285255839,0.0037028402155875858,0.0006797839797575438,0.9993202160202425,0.9940542157017961,0.32733819926859226,0.28887788936846226,588.5853128894596,170.02928290078304,124.26390058043759,123786.85800000001,HIGH REVENUE / HIGH MARGIN,0.0630424439078003
3,24124808.5,1518306.31,22606502.189999998,13418464.049999997,9188038.14,955052.6314159452,8232985.508584055,58415.0,57873.0,542.0,285.0,207885.95,82765.25,43167,120,585654.145401876,0.9907215612428315,0.004878883848326628,0.0010192971482845693,0.9989807028517155,0.9907439824945296,0.40643342622302425,0.36418661495655535,523.6987094308151,190.72406024472525,142.25952531550215,135125.86750000002,HIGH REVENUE / HIGH MARGIN,0.0629354761510335
4,2351241.2399999998,149024.81,2202216.4299999997,1608067.2999999998,594149.1300000001,759976.992459596,-165827.8624595959,48865.0,48601.0,264.0,224.0,11634.55,2948.96,36451,120,489188.6021518759,0.9945973600736724,0.004584058119308299,0.0006035499711942059,0.9993964500288058,0.9947668637814643,0.2697959755027349,-0.07530043832231145,60.41580285863213,-4.549336436849357,-3.4120257290919094,7562.4574999999995,LOW REVENUE / LOW MARGIN,0.06338133555364145
5,12919030.370000001,822006.3600000001,12097024.01,10290347.280000001,1806676.7300000004,663252.5405515872,1143424.189448413,41134.0,41036.0,98.0,62.0,28353.219999999998,3763.0600000000004,30793,120,412163.8674722222,0.9976175426654349,0.0015072689259493363,0.0003247491312960738,0.9996752508687039,0.9973821989528796,0.14934885873637282,0.09452111432557313,392.8498038515247,37.13260122262894,27.86392897573869,18429.593,HIGH REVENUE / LOW MARGIN,0.06362755845119977
6,8138996.68,511164.13,7627832.55,5170995.699999999,2456836.85,573000.3335079364,1883836.5164920636,36170.0,35942.0,228.0,213.0,47275.899999999994,14671.9,27296,120,360723.25913888885,0.9936964335084324,0.0058888581697539395,0.0006594372801875733,0.9993405627198124,0.9935257907026109,0.32208846142014486,0.24696878230396702,279.44873058323566,69.01511270853105,52.4132356711386,30729.334999999995,HIGH REVENUE / HIGH MARGIN,0.06280431730069215
7,24866766.24,1573620.9700000002,23293145.27,13725545.850000001,9567599.419999998,542331.3757619048,9025268.044238094,31747.0,31569.0,178.0,138.0,129034.16,51417.26,24016,120,316820.8931111111,0.9943931710082843,0.004346867420543674,0.0006662225183211193,0.9993337774816788,0.994273500826713,0.4107474241498172,0.3874645497472611,969.9011188374417,375.8023003097141,285.8902101504037,83872.204,HIGH REVENUE / HIGH MARGIN,0.06328209123825343
8,3058747.99,193598.21000000002,2865149.7800000003,2081162.2999999998,783987.48,445607.9816904762,338379.4983095238,28364.0,28309.0,55.0,46.0,5511.93,1469.4299999999998,21517,120,284833.9451984127,0.998060922295868,0.0016217740798194894,0.0003253241622902821,0.9996746758377097,0.9980093200018098,0.27362879437318627,0.11810185305897822,133.15749314495517,15.726146689107393,11.953071401657558,3582.7545000000005,LOW REVENUE / LOW MARGIN,0.06329328556420237
9,4636867.6899999995,290369.44999999995,4346498.24,3696140.1599999997,650358.0800000001,397474.65033333335,252883.4296666668,25129.0,25028.0,101.0,102.0,17574.94,2667.34,19185,120,251190.81709126983,0.9959807393847746,0.004059055274782124,0.0004169924420119885,0.999583007557988,0.9958751336762235,0.14962805552637243,0.05818095756704293,226.5571144123013,13.181309860133792,10.104020683501151,11423.711,HIGH REVENUE / LOW MARGIN,0.06262189680896416
